ルマン24時間耐久レース,ルマンニジュウヨジカンタイキュウレース
網方式,モウホウシキ
突起物,トッキブツ
…。網,サイレンスモウ
100%人手不足,ヒャクパーセントヒトデブソク
知能系,チノウケイ
研究室界隈,ケンキュウシツカイワイ
willit,ウィルイット
TodayI will,トゥデイアイウィル
onsystem software,オンシステムソフトウェア
system softwareand a,システムソフトウェアアンドエー
proposeto,プロポーズトゥ
w/deep,ダブリュースラッシュディープ
スパコンFX,スパコンエフエックス
とき自分,トキジブン
石井威望先生,イシイタケモチセンセイ
数値化,スウチカ
大学側,ダイガクガワ
本来目的,ホンライモクテキ
人や社会,ヒトヤシャカイ
独自KPI,ドクジケーピーアイ
KPI設定,ケーピーアイセッテイ
トンデモKPI,トンデモケーピーアイ
独自KPI,ドクジケーピーアイ
博士卒,ハカセソツ
民間就職率,ミンカンシュウショクリツ
松岡先生,マツオカセンセイ
大学ランキング,ダイガクランキング
それ以外,ソレイガイ
次期中期,ジキチュウキ
中期計画,チュウキケイカク
松岡先生,マツオカセンセイ
地方大学,チホウダイガク
代わり裁量,カワリサイリョウ
オーバーコンプライアンス,オーバーコンプライアンス
金も知恵,カネモチエ
既存手法,キソンシュホウ
成果偏重,セイカヘンチョウ
偏重主義,ヘンチョウシュギ
二番手,ニバンテ
コスト削減,コストサクゲン
技術移行,ギジュツイコウ
シンガポール出身,シンガポールシュッシン
出身者,シュッシンシャ
研究者,ケンキュウシャ
仕事柄,シゴトガラ
大学ランキング,ダイガクランキング
芸術的,ゲイジュツテキ
クラウド化,クラウドカ
業界全体,ギョウカイゼンタイ
根本原因,コンポンゲンイン
数千,スウセン
千人,センニン
一時解雇,イチジカイコ
%下げ,パーセントサゲ
通年売上,ツウネンウリアゲ
大量首切り,タイリョウクビキリ
日前,ニチマエ
義務化,ギムカ
今回トルコ,コンカイトルコ
数年,スウネン
西欧化,セイオウカ
ビザンチン帝国,ビザンチンテイコク
本質的,ホンシツテキ
学術研究水準,ガクジュツケンキュウスイジュン
博士人材,ハカセジンザイ
科学技術イノベーション,カガクギジュツイノベーション
３点,サンテン
次期スパコン,ジキスパコン
遠隔制御,エンカクセイギョ
枚刺し,マイザシ
刺しインスタンス,ザシインスタンス
NewG2,ニュージーツー
MoreGPU,モアジーピーユー
ChineseTech,チャイニーズテック
OverSuper,オーバースーパー
Supercomputer,スーパーコンピューター
メモリ開発,メモリカイハツ
複数社,フクスウシャ
経営陣,ケイエイジン
基金数,キキンスウ
数兆,スウチョウ
兆円,チョウエン
円規模,エンキボ
米国上位,ベイコクジョウイ
上位大学,ジョウイダイガク
経営力,ケイエイリョク
竹槍戦,タケヤリセン
評価制度,ヒョウカセイド
制度導入,セイドドウニュウ
年前,ネンマエ
大学改革,ダイガクカイカク
大学院部会,ダイガクインブカイ
大学院入学,ダイガクインニュウガク
入学者,ニュウガクシャ
者選抜,シャセンバツ
平成11年7月8日,ヘイセイジュウイチネンシチガツヨウカ
100%同感,ヒャクパーセントドウカン
研究や気,ケンキュウヤキ
や気養育,ヤキヨウイク
改革圧力,カイカクアツリョク
共闘相手,キョウトウアイテ
米企業,ベイキギョウ
博士登用,ハカセトウヨウ
経営思想,ケイエイシソウ
グローバル展開,グローバルテンカイ
中村先生,ナカムラセンセイ
実務家,ジツムカ
家出身,カシュッシン
学問的,ガクモンテキ
実務経験,ジツムケイケン
実務家,ジツムカ
家教員,カキョウイン
RAID6,アールエイアイディーロク
toChina,トゥチャイナ
supercomputer,スーパーコンピューター
運営費交付金,ウンエイヒコウフキン
交付金削減,コウフキンサクゲン
WhyJapanese,ホワイジャパニーズ
Japanesepeople,ジャパニーズピープル
漢字キレ,カンジキレ
キレ芸,キレゲイ
厚切りジェイソンこと,アツギリジェイソンコト
人が社会,ジンガシャカイ
時管理,トキカンリ
中国ざまぁ,チュウゴクザマァ
独自CPU,ドクジシーピーユー
CPU開発,シーピーユーカイハツ
サーバー版,サーバーバン
市販化,シハンカ
化加速,カカソク
交換条件,コウカンジョウケン
証明写真ボックス,ショウメイシャシンボックス
cmx5,センチメートルエックススリー
x5cm,エックススリーセンチメートル
白バック,シロバック
バストショット,バストショット
ビザセンター,ビザセンター
写真ボックス,シャシンボックス
写真サイズ,シャシンサイズ
NEC本社,エヌイーシーホンシャ
本社ビル,ホンシャビル
申請ダン,シンセイダン
渡航情報,トコウジョウホウ
印刷用,インサツヨウ
用オンライン,ヨウオンライン
オンライン申請,オンラインシンセイ
申請フォーム,シンセイフォーム
一切修正,イッサイシュウセイ
IT大国ら,アイティータイコクラ
インドビザ,インドビザ
RTインド,アールティーインド
インド大使館,インドタイシカン
トライちう,トライチウ
インド料理屋,インドリョウリヤ
ビザセンター,ビザセンター
ソースこれ,ソースコレ
独自CPU,ドクジシーピーユー
CPU開発,シーピーユーカイハツ
morelike,モアライク
PFper,ピーエフピーイーアール
perrack,ピーイーアールラック
CGin,シージーイン
myother,マイアザー
othersources,アザーソーシズ
willask,ウィルアスク
TBtape,ザイムショウタンキショウケンテープ
手のひらサイズ,テノヒラサイズ
HPCvia,エイチピーシービア
既知スーパーコンピュータ,キチスーパーコンピュータ
スーパーコンピュータプロジェクト,スーパーコンピュータプロジェクト
輸出許可証,ユシュツキョカショウ
主要システム,シュヨウシステム
人超,ニンチョウ
購入履歴もと,コウニュウリレキモト
１年,イチネン
yesand,イエスアンド
TheAutora,ザアウトラ
AutoraCG,アウトラシージー
CGphoto,シージーフォト
isto,アイエストゥ
itis,イットイズ
ismore,イズモア
rackand,ラックアンド
rack.,アールエーシーケイ
世界標準価格,セカイヒョウジュンカカク
億円,オクエン
円程度,エンテイド
億円,オクエン
円弱,エンジャク
新型基幹,シンガタキカン
億円,オクエン
これ全部,コレゼンブ
億円,オクエン
円強,エンキョウ
新型基幹,シンガタキカン
億円,オクエン
低軌道用,テイキドウヨウ
最小構成,サイショウコウセイ
ＩＢＭチューリッヒ,アイビーエムチューリッヒ
チューリッヒ研究所,チューリッヒケンキュウジョ
テープ技術,テープギジュツ
研究試作,ケンキュウシサク
来週ラスベガス,ライシュウラスベガス
NABShow,エヌエービーショウ
IBMブース,アイビーエムブース
出てポスドク,ダシテポスドク
任期職,ニンキショク
研究開発部門,ケンキュウカイハツブモン
専任研究,センニンケンキュウ
研究ポジション,ケンキュウポジション
高給取り,コウキュウトリ
研究者,ケンキュウシャ
者勝ち組,シャカチグミ
勝ち組パターン,カチグミパターン
HellWill,ヘルウィル
WillAny,ウィルエニー
AnyCloud,エニークラウド
CatchAWS,キャッチアマゾンウェブサービス
未来を予測,ミライヲヨソク
機械学習ツール,キカイガクシュウツール
機械学習クラウド,キカイガクシュウクラウド
パラメータチューニング,パラメータチューニング
いくらクラウド,イクラクラウド
パラメータチューニング,パラメータチューニング
意味分かん,イミブンカン
インドビザ,インドビザ
ビザ申請,ビザシンセイ
申請センター,シンセイセンター
interconnect,インテルコネクト
connectdid,コネクトディーアイディー
likea,ライクアール
avery,アールベリイ
veryex,ベリイイーエックス
expensive,イーエックスペンシブ
topeta,トゥピーイーティーエー
petascale,ピーイーティーエースケール
インドビザ,インドビザ
ビザ申請,ビザシンセイ
申請センター,シンセイセンター
JapaneseSC,ジャパニーズエスシィ
isa,アイエスアール
abig issue,アールビッグイシュー
and non,アンドエヌオン
bySC,ビーワイエスシィ
PFto,ピーエフトゥ
asleader,アズリーダー
leadership,リーダーシップ
shipSC,シップエスシィ
tothe,トゥザ
therescue,ザレスキュー
AuroraHPC,オーロラエイチピーシー
HPCFact,エイチピーシーファクト
detailsand,ディテールズアンド
withcurrent,ウィズカレント
HPCvia,エイチピーシービア
mAurora,メートルオーロラ
Aurorasuper,オーロラスーパー
Million,メガイリオン
dayswill,デイズウィル
willreach,ウィルリーチ
reachPluto,リーチプルート
Plutofor,プルートフォー
stclose-up,エスティクローズアップ
